Fecha,Producto,Marca,Origen,Peso en pie (kg),Peso en canal (kg),Precio ($/ kg)
,,,,,,
,,,,,,
,,,,,,
D.F. : Centro de distribuci�n Becerra,,,,,,
03/02/2026,Gallina,Sin marca,Coahuila,3.6,3.3,$58.00
03/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$64.00
03/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$63.50
03/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$63.70
03/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$63.90
03/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
04/02/2026,Gallina,Sin marca,Veracruz,3.6,3.3,$58.00
04/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$64.00
04/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$63.50
04/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$63.70
04/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$63.90
04/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
05/02/2026,Gallina,Sin marca,Jalisco,3.6,3.3,$58.00
05/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$64.00
05/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$63.50
05/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$63.70
05/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$63.90
05/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$65.00
06/02/2026,Gallina,Sin marca,Tabasco,3.6,3.3,$58.00
06/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$64.00
06/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$63.50
06/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$63.70
06/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$63.90
06/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$65.00
09/02/2026,Gallina,Sin marca,Coahuila,3.6,3.3,$58.00
09/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$63.00
09/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$62.50
09/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$62.70
09/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$62.90
09/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
10/02/2026,Gallina,Sin marca,Veracruz,3.6,3.3,$58.00
10/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$63.00
10/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$62.50
10/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$62.70
10/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$62.90
10/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
11/02/2026,Gallina,Sin marca,Jalisco,3.6,3.3,$58.00
11/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$63.00
11/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$62.50
11/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$62.70
11/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$62.90
11/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
12/02/2026,Gallina,Sin marca,Jalisco,3.6,3.3,$58.00
12/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$63.00
12/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$62.50
12/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$62.70
12/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$62.90
12/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
13/02/2026,Gallina,Sin marca,Sinaloa,3.6,3.3,$57.00
13/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$63.00
13/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$62.50
13/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$62.70
13/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$62.90
13/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
16/02/2026,Gallina,Sin marca,Coahuila,3.6,3.3,$56.00
16/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$63.00
16/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$62.50
16/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$62.70
16/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$62.90
16/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
17/02/2026,Gallina,Sin marca,Tamaulipas,3.6,3.3,$56.00
17/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$64.00
17/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$63.50
17/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$63.70
17/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$63.90
17/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$65.00
18/02/2026,Gallina,Sin marca,Jalisco,3.6,3.3,$55.00
18/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$64.00
18/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$63.50
18/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$63.70
18/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$63.90
18/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$65.00
19/02/2026,Gallina,Sin marca,Tamaulipas,3.6,3.3,$55.00
19/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$64.00
19/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$63.50
19/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$63.70
19/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$63.90
19/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$65.00
20/02/2026,Gallina,Sin marca,Tabasco,3.6,3.3,$55.00
20/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$64.00
20/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$63.50
20/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$63.70
20/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$63.90
20/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$65.00
23/02/2026,Gallina,Sin marca,Coahuila,3.6,3.3,$55.00
23/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$63.00
23/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$62.50
23/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$62.70
23/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$62.90
23/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
24/02/2026,Gallina,Sin marca,Tamaulipas,3.6,3.3,$55.00
24/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$63.00
24/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$62.50
24/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$62.70
24/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$62.90
24/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
25/02/2026,Gallina,Sin marca,Jalisco,3.6,3.3,$55.00
25/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$63.00
25/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$62.50
25/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$62.70
25/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$62.90
25/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
26/02/2026,Gallina,Sin marca,Tabasco,3.6,3.3,$55.00
26/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$63.00
26/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$62.50
26/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$62.70
26/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$62.90
26/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
27/02/2026,Gallina,Sin marca,Sinaloa,3.6,3.3,$54.00
27/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$63.00
27/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$62.50
27/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$62.70
27/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$62.90
27/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
D.F. : Centro de distribuci�n Nuevo San Juan,,,,,,
03/02/2026,Gallina,Sin marca,Tamaulipas,3.6,3.3,$58.00
03/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$63.90
03/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$63.50
03/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$63.50
03/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$63.70
03/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
04/02/2026,Gallina,Sin marca,Chiapas,3.6,3.3,$58.00
04/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$64.00
04/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$63.50
04/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$63.50
04/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$63.70
04/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
05/02/2026,Gallina,Sin marca,Durango,3.6,3.3,$58.00
05/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$63.90
05/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$63.50
05/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$63.50
05/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$63.70
05/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$65.00
06/02/2026,Gallina,Sin marca,Jalisco,3.6,3.3,$58.00
06/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$63.90
06/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$63.50
06/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$63.50
06/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$63.70
06/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$65.00
09/02/2026,Gallina,Sin marca,Veracruz,3.6,3.3,$58.00
09/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$62.90
09/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$62.30
09/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$62.50
09/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$62.70
09/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
10/02/2026,Gallina,Sin marca,Oaxaca,3.6,3.3,$58.00
10/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$62.90
10/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$62.50
10/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$62.50
10/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$62.70
10/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
11/02/2026,Gallina,Sin marca,Chiapas,3.6,3.3,$58.00
11/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$62.90
11/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$62.30
11/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$62.50
11/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$62.70
11/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
12/02/2026,Gallina,Sin marca,Durango,3.6,3.3,$58.00
12/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$62.90
12/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$62.30
12/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$62.50
12/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$62.70
12/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
13/02/2026,Gallina,Sin marca,Michoac�n,3.6,3.3,$57.00
13/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$62.90
13/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$62.30
13/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$62.50
13/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$62.70
13/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
16/02/2026,Gallina,Sin marca,Veracruz,3.6,3.3,$56.00
16/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$62.90
16/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$62.30
16/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$62.50
16/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$62.70
16/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
17/02/2026,Gallina,Sin marca,Chiapas,3.6,3.3,$56.00
17/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$63.90
17/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$63.30
17/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$63.50
17/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$63.70
17/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$65.00
18/02/2026,Gallina,Sin marca,Oaxaca,3.6,3.3,$55.00
18/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$63.90
18/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$63.30
18/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$63.50
18/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$63.70
18/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$65.00
19/02/2026,Gallina,Sin marca,Zacatecas,3.6,3.3,$55.00
19/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$63.90
19/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$63.30
19/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$63.50
19/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$63.70
19/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$65.00
20/02/2026,Gallina,Sin marca,Jalisco,3.6,3.3,$55.00
20/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$63.90
20/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$63.30
20/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$63.50
20/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$63.70
20/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$65.00
23/02/2026,Gallina,Sin marca,Veracruz,3.6,3.3,$55.00
23/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$62.90
23/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$62.30
23/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$62.50
23/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$62.70
23/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
24/02/2026,Gallina,Sin marca,Chiapas,3.6,3.3,$55.00
24/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$62.90
24/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$62.30
24/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$62.50
24/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$62.70
24/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
25/02/2026,Gallina,Sin marca,Oaxaca,3.6,3.3,$55.00
25/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$62.90
25/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$62.30
25/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$62.50
25/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$62.70
25/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
26/02/2026,Gallina,Sin marca,Zacatecas,3.6,3.3,$55.00
26/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$62.90
26/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$62.30
26/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$62.50
26/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$62.70
26/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
27/02/2026,Gallina,Sin marca,Jalisco,3.6,3.3,$54.00
27/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$62.90
27/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$62.30
27/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$62.50
27/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$62.70
27/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
D.F. : Centro de distribuci�n Ray�n,,,,,,
03/02/2026,Gallina,Sin marca,Guanajuato,3.6,3.3,$58.00
03/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$63.70
03/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$63.30
03/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$63.50
03/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
04/02/2026,Gallina,Sin marca,Tlaxcala,3.6,3.3,$58.00
04/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$63.70
04/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$63.30
04/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$63.50
04/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$65.00
05/02/2026,Gallina,Sin marca,Edo. de M�xico,3.6,3.3,$58.00
05/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$63.70
05/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$63.30
05/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$63.50
05/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$65.00
06/02/2026,Gallina,Sin marca,Morelos,3.6,3.3,$58.00
06/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$63.70
06/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$63.30
06/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$63.50
06/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$65.00
09/02/2026,Gallina,Sin marca,Quer�taro,3.6,3.3,$58.00
09/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$62.70
09/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$62.30
09/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$62.50
09/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
10/02/2026,Gallina,Sin marca,Hidalgo,3.6,3.3,$58.00
10/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$62.70
10/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$62.30
10/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$62.50
10/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
11/02/2026,Gallina,Sin marca,Puebla,3.6,3.3,$58.00
11/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$62.70
11/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$62.30
11/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$62.50
11/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
12/02/2026,Gallina,Sin marca,Michoac�n,3.6,3.3,$58.00
12/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$62.70
12/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$62.30
12/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$62.50
12/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
13/02/2026,Gallina,Sin marca,Morelos,3.6,3.3,$57.00
13/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$62.70
13/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$62.30
13/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$62.50
13/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
16/02/2026,Gallina,Sin marca,Guanajuato,3.6,3.3,$56.00
